ID,pendapat,label_sentimen
24,"Tentu kebijakan ini merugikan khusunya mahasiswa akhir yang sedang HANYA mengambil mata kuliah TA, kami dipaksa selesai sebelum juli. Sedangkan kebijakan sempro dan semhas HANYA dilakukan di UTS dan UAS saja sehingga perhitunganya tidak pas/memungkinkan jika kami harus lulus sebelum juli. Kami juga berharap segera lulus,tapi kebijakan sempro semhas tadi, ditambah dosen yang tiap minggu belum tentu ada waktu bimbingan juga menghambat kelulusan kami. Disisi lain juga berdampak ke finansial. Penambahan semester, belum lagi biasa kos dan hidup juga bertambah. Apakah ini bentuk efisiensi anggaran? Kita nambah matkul,nambah semester, kampus juga nambah penghasilan? Tentuuu semua keberatan,tidak semua mahasiswa berkecukupan. Kami juga ingin segera lulus, tapi tolong lah untuk prodi juga memberikan kebijakan yang tidak memberatkan mahasiswa khususnya tingkat akhir. Terlebih kebijakan ini tidak diratakan ke seluruh prodi yang ada di itera, hanya sains data? Haha",negative
25,Sangat tidak adil jika kebijakan ini diterapkan khususnya untuk mahasiswa semester akhir yang mana ini akan menyebabkan mahasiswa menjadi lama lulus.,negative
26,"Saya melihat di angkatan saya sendiri terkhususnya 2021, memang sedang banyak menggancar untuk kelulusan di tahun ini. Akan tetapi banyak hal-hal yang menurut saya sendiri menjadi tidak rasional, jika kita tarik benang merahnya menjadi beberapa point :

1. Waktu Bimbingan 

dengan banyaknya mahasiswa utamanya semester akhir (2020 dan 2021) yang belum menyelesaikan masa studinya itu masih terbilang cukup banyak (data ini yang seharusnya ibu/bapak dosen tau) angkatan 2021 saja yang berjumlah 142 orang masih tersedat akan waktu bimbingan yang di jadwalkan, normalnya 1-2 kali dalam seminggu. akhirnya menimbulkan pertanyaan, apakah dengan rentang waktu yang sebegitu mepetnya, seluruh mahasiswa yang sebanyak itu dapat ditanggulangi ? kami sebagai mahasiswa, dirasa ini tidak rasional dalam perhitungan waktu. ( mungkin bapak/ibu lebih paham mengenai ini)

2. Penjadwalan akan waktu sidang 

sekarang, waktu sidang di rencanakan akan UTS/UAS (memang terkadang ada yang secara langsung bisa dilaksanakan bukan dalam rentang itu), akan tetapi dengan mahasiswa/i sebanyak itu, apakah masih relevan untuk dilaksanakan jaswal seperti itu ?

3. Akhirnya berdampak ke masa studi, dan finansial keluarga

masa studi yang berkepanjangan, membuat kami berdiskusi akan financial bersama keluarga, mungkin yang UKT nya tidak terlalu besar tidak keberatan. akan tetapi bagaimana yang memiliki UKT di batas maksimal ? (saya rasa akan sangat merasa keberatan)

dalam hal ini saya paham, bapak/ibu sekalian lebih mengerti bagaimana cara berfikir mahasiswa dan bapak/ibu pernah menjadi seorang mahasiswa juga. sehingga hal demikian dirasa baik untuk mahasiswa di program studi ini, akan tetapi menurut saya sendiri untuk penerapan sistem ini sangat begitu cepat dan terburu-buru. kami sebagai mahasiswa ingin membantu bapak/ibu sekalian dalam membantu pembangunan program studi ini. karena kami pun sudah berada di dalam ini dan rasa kebanggan kami akan prodi ini, jadi dari saya menurut saya bisa di pertombangkan lagi akan ketetapan dari sistem ini bapak/ibu sekalian 

terimakasih banyak 🙏



",negative
27,"Perubahan mata kuliah pilihan menjadi mata kuliah wajib yang berisiko menambah lama studi mahasiswa semester akhir, sementara tidak berdampak pada lama studi mahsiswa semester awal. Walaupun ada dampak baik dari kebijakan ini, seperti mahasiswa akhir yang belum menyelesaikan studi hingga sidang akhir mungkin termotivasi untuk segera mengejar sidang, tidak semua mahasiswa memiliki kompetensi yang sama, juga dosen pembimbing yang akan membimbing sekian banyak mahasiswa dalam waktu bersamaan mungkin tidak efektif dan akan berdampak pada hasil akhir. Hal ini sangat tidak adil diterapkan bagi semua mahasiswa. Jikalau
memang kebijakan ini harus tetap diterapkan, maka menurut saya ada baiknya dikaji
kembali mengenai sasaran dari kebijakan baru, sehingga minimal tidak ada mahasiswa yang dirugikan dengan diterapkannya kebijakan ini.",negative
28,"Menurut saya kebijakan ini kurang adil terhadap saya dimana kebijakan ini saya rasa diberitahukan secara tiba-tiba, dimana kebijakan ini seharusnya disosialisasikan jauh-jauh hari sebelum perkuliahan dimulai, karena dengan begitu mahasiswa dapat mempertimbangkan rencana perkuliahan selanjutnya.",negative
29,tidak bagi mahasiswa akhir yang sedang menyusun skripsi dikarenakan sks sudah dipenuhi tetapi dipaksa menambah kuota sks lagi sangat memberatkan,negative
30,"Sebaiknya kebijakan ini dihapus melihat mahasiswa sains data banyak yang masih tertinggal dari prodi lain dalam mengerjakan TA dan masih banyak kating yang belum semua lulus baru setengah yang lulus ,belum lagi di tambah kebijakan ini akan menjadi penghambat mahasiswa sains data untuk lulus tepat waktu.Tidak ada equivalensi aja masih banyak yang lulus tidak tepat waktu, apalagi ada kebijakan equivalensi",negative
31,"Menurut saya wajar jika prodi ingin memperbaiki kurikulum, namun hal ini juga perlu dikaji ulang dampaknya terhadap mahasiswa yang akan menjalaninya. Pendapat mahasiswa perlu dijadikan pertimbangan dalam pengambilan keputusan, terutama jika keputusan tersebut dinilai berdampak negatif terhadap perencanaan studi mahasiswa dan berpotensi menghambat penyelesaian masa studi.",negative
32,"Tidak adil, karena berdampak besar bagi kami yang tidak dapat menyelesaikan studi dibulan juli ini. Bisa dikatakan adil kalau kebijakan ada keringanan untuk mahasiswa yang terdampak. Contohnya kebijakan Penambahan MK tidak berlaku bagi mahasiswa akhir, atau bisa juga tetap berlaku namun diadakan di semester ganjil (9). Karena dipastikan mahasiswa yang tidak dapat lulus dibulan juli akan menyelesaikan semester 9.",negative
33,"Kebijakan tersebut mungkin tidak terlalu berdampak terhadap mahasiswa semester awal, namun bagi mahasiswa yang sudah mendekati semester akhir/masa lulus, kebijakan tersebut dapat sangat merugikan bagi mereka. Matakuliah2 yang awalnya mereka tidak ambil dikarenakan bersifat pilihan menjadi beban tambahan buat mereka ambil. Dimana hal ini juga beresiko dapat menambah semester bagi mereka.
Jadi menurut saya kebijakan tersebut mungkin dapat dipertimbangkan lagi apakah penting untuk diterapkan untuk semua mahasiswa atau tidak.",negative
34,Kurikulum baru untuk apa? untuk naikin kualitas? kalau untuk naikin kualitas ya proses nya juga harus mencerminkan kualitas itu lah kocak. Bukan cuma dari isinya tapi eksekusinya. Bukan cuma mikiran orang lain pikirin juga diri sendiri begitupun sebaliknya,negative
35,"Saya pribadi merasa sangat tertekan dan tidak adil karena saat ini saya baru mengambil Tugas Akhir di semester ini, dan kebijakan baru ini justru muncul di saat yang sangat krusial.
Kami memang sangat ingin segera lulus. Namun dengan adanya kebijakan ini, kami menjadi stres berat memikirkan kemungkinan terburuk, seperti harus menambah semester hanya karena tidak selesai tepat waktu sebelum Juli.

Kami dihadapkan pada,

Batasan waktu seminar dan sidang yang sangat sempit, apalagi pendaftaran seminar hanya dibuka di masa ujian, yang menyebabkan antrian panjang dan takutnya ketidaktercukupannya waktu.

Tekanan finansial yang besar. Jika kebijakan ini benar-benar diterapkan, kami harus membayar UKT tambahan untuk semester berikutnya, sementara banyak dari kami (termasuk saya) berasal dari keluarga yang sangat berharap agar kami bisa lulus secepatnya dan tidak membebani biaya lagi.

Kecemasan orang tua yang juga tidak sanggup menanggung biaya tambahan dan berharap kami bisa segera bekerja untuk membantu keluarga.

Kami yakin bahwa prodi tidak berniat menyulitkan mahasiswanya, dan kami percaya bahwa keputusan ini berasal dari kebijakan pusat. Namun, dampaknya sangat nyata dan berat bagi kami.",negative
36,"Menurut saya kebijakan ini harus dikaji ulang khususnya untuk mahasiswa tingkat akhir, dan untuk aturan seminar proposal maupun hasil bisa di lakukan diluar jadwal UAS agar tidak menumpuk dan harus rebutan jadwal seminar",negative
37,"Menurut saya ini sangat tidak adil bagi mahasiswa tingkat akhir. Karena waktu untuk menyelesaikan Tugas Akhir hanya sebentar sekali, ditambah lagi dengan kebijakan seminar yang hanya diadakan di masa ujian, yang berarti itu memperlambat dan mengharuskan kita berebutan kuota seminar. Kalaupun memang ekuivalensi ini harus ditetapkan, setidaknya seminar jangan hanya diadakan di masa ujian saja.",negative
38,"Menurut saya tidak adil, terkhusus untuk angkatan atas yang harus menambah semester untuk mengambil mata kuliah yang sebelumnya adalah pilihan menjadi wajib dikarenakan revisi kurikulum.",negative
39,"menurut saya hal seperti ini bisa saja di laksanakan tanpa berdampak pada mahasiswa yg telah terlampau dari semester 6, katena hal ini dapat menjadi beban akademis",negative
40,Mahasiswa tahun akhir seharusnya di fokuskan pengerjaan TA saja tidak perlu diberikan mata kuliah wajib tambahan. Mahasiswa angkatan 2023 kebawah masih memiliki waktu yang cukup untuk menyelesaikan mata kuliah yang diwajibkan  tersebut.,negative
41,"Sebaiknya regulasi ini perlu untuk di kaji ulang. Perubahan kurikulum seharusnya 
dilakukan berdasarkan musyarawarah antara pihak dosen dengan mahasiswa sebelum mengambil keputusan. Khususnya bagi mahasiswa akhir (2020 & 2021) hal ini PASTI merugikan. Dengan adanya agenda semacam ini, penyelesaian TA akan mempersulit mahasiswa skripsi (ambang batas penyelesaian maksimal juli). Dilansir dari web prodi, jumlah mahasiswa angkatan itu kurang lebih 150 orang. Dan setiap dosen pembimbing memiliki puluhan mahasiswa bimbingan. Berdasarkan perbandingan diatas, tentunya tidak logis jika jadwal seminar hanya pada saat UAS saja.  Di satu sisi, menghubungi pihak pembimbing bukanlah hal mudah dan mengatur jadwal seminar di prodi sangat terbatas. Saya kira, regulasi ini terlalu dini untuk diterapkan bagi rekan rekan sekalian dan ekstrem bagi mahasiswa akhir. Semoga HMSD bisa menyuarakan keresahan ini, dan isu ""ekuivalensi"" segera usai. Trimakasih.
",negative
42,Kebijakan ini menurut saya tidak adil karena bagi mahasiswa akhir dan pertengahan yang sudah mengatur strategi kelulusannya dengan mata kuliah yang diambil menjadi harus mengatur ulang dan menambahkan semua itu menyebabkan saya sendiri juga akan merugi dari segi finansial saat menambah semester.,negative
43,"Tidak adil, karena dari awal mahasiswa di setiap semesternya sudah menjalankan apa yang sesuai dengan kebijakan pada tahun mahasiswa tersebut menempuh pembelajaran. Yang tadinya hanya fokus dengan apa yang belum diselesaikan jika ditambah lagi menurut saya itu jadi menganggu. ",negative
44,Menurut saya kebijakan ini dapat diterapkan untuk mahasiswa baru saja,negative
45,"Tim akademik mungkin merasa perubahan kurikulum itu hal biasa, pergantian status mata kuliah pilihan menjadi wajib adalah hal biasa, tetapi yang langsung merasakannya sendiri adalah mahasiswa yang terpaksa mengambil satu atau lebih mata kuliah walaupun tidak ada peminatan dalam subjek tersebut. Tiap mahasiswa mungkin sudah merencanakan dengan matang fokus studi yang mereka ambil berdasarkan kondisi finansial mereka saat ini, apabila ada hal di luar dugaan terjadi yang membuat mahasiswa tersebut harus merubah strateginya atau mengharuskannya membayar ukt tambahan karena menambah semester hanya untuk mengambil mata kuliah tersebut, maka akan sangat menyusahkan mahasiswa dari segi akademis, finansial, dan kondisi mental yang terganggu karena rencana yang telah dibuat matang diubah oleh kuasa di luar kendalinya.",negative
46,"Tidak adil terutama untuk mahasiswa tingkat akhir, karena akan membebani finansial kepada wali mahasiswa",negative
47,"Sebagai mahasiswa semester akhir, saya merasa kebijakan ini cukup membebani. Di tengah upaya kami menyelesaikan Tugas Akhir, munculnya perubahan kurikulum yang mewajibkan mata kuliah tambahan menambah tekanan, baik secara akademis maupun psikologis. Jika tidak segera menyelesaikan sidang, kami dihadapkan pada risiko harus mengambil mata kuliah baru yang sebelumnya bukan menjadi syarat kelulusan. Hal ini terasa kurang adil karena tidak mempertimbangkan bahwa sebagian besar mahasiswa di tahap akhir sudah memiliki rencana studi dan waktu yang sangat terbatas. Harapan saya, ada kebijakan transisi yang lebih fleksibel untuk mahasiswa angkatan akhir agar tidak menghambat kelulusan.",positive
48,"Untuk mahasiswa semester awal cukup rekomendasi, terapi untuk mahasiswa akhir tidak dikarenakan sudah mengambil tugas akhir. Dan sks suda cukup untuk selesai S1",neutral
49,"Dengan segala hormat, saya ingin menyampaikan pendapat saya terkait kebijakan penambahan mata kuliah wajib di program studi Sains Data. Kebijakan ini memberikan dampak yang besar, khususnya bagi mahasiswa tingkat akhir. Rencana kelulusan yang telah disusun secara matang menjadi terganggu, terutama bagi mahasiswa yang berasal dari keluarga dengan kondisi finansial yang terbatas.
Penambahan mata kuliah wajib secara tiba-tiba membuat sebagian mahasiswa terpaksa harus menempuh semester tambahan, bahkan hingga dua semester, apabila tugas akhir belum dapat diselesaikan pada bulan Juli. Hal ini tentu berdampak pada beban pembayaran UKT yang tidak sedikit, dan menjadi tekanan tersendiri bagi mahasiswa maupun keluarga mereka. Kondisi ini juga menghambat kemungkinan mahasiswa tingkat akhir untuk memperoleh keringanan UKT sebesar 50%, karena adanya tambahan beban akademik yang harus diselesaikan.
Selain itu, pelaksanaan seminar proposal dan seminar hasil yang hanya dapat dilakukan saat UTS dan UAS menambah kendala tersendiri, mengingat terbatasnya waktu dan banyaknya mahasiswa yang juga harus menyelesaikan seminar di waktu yang bersamaan, menghambat mahasiswa untuk menyelesaikan studi nya untuk mengikuti kebijakan baru yang harus selesai sekitar bulan Juli. 
Secara pribadi, setelah menyampaikan kebijakan ini kepada keluarga saya, ayah saya lebih banyak terdiam. Saya memahami bahwa beliau sedang memikirkan kondisi keuangan keluarga kami, terlebih dengan adanya tiga saudara saya yang juga sedang menempuh pendidikan tinggi, dan satu di antaranya akan mulai kuliah dalam waktu dekat. Hal ini tentu menjadi beban tersendiri bagi saya sebagai anak dan sebagai mahasiswa.
Kami para mahasiswa, tidak hanya menghadapi tantangan akademik dari tugas akhir, tetapi juga tekanan mental akibat dampak yang akan ditimbulkan oleh kebijakan ini. Bahkan, saya kadang berfikir apakah saya harus melakukan cuti kuliah demi mengumpulkan dana UKT 2 semester lagi atau bahkan berpikir untuk berhenti kuliah karena keterbatasan finansial, mengingat UKT yang besar. 
Dengan ini, saya memohon dengan sangat agar Bapak/Ibu yang berwenang dapat mempertimbangkan kembali kebijakan ini secara bijaksana. Kami sangat berharap adanya solusi yang berpihak pada mahasiswa, mengingat banyaknya dampak yang kurang baik terhadap mahasiswa di program studi sains data ini. 

Mohon maaf apabila terdapat kata-kata yang kurang berkenan. Terima kasih atas perhatian dan kebijaksanaan Bapak/Ibu.",negative
50,"Apakabar dengan anak-anak yg mengambil MBKM di sem 7 kemarin? dan harus mengambil mata kuliah di sem 9 lagi? sedangkan dengan keadaan dosen hanya 1 kli seminggu dapat melakukan bimbingan, kemudian tuntutan dalam membuat skripsi besar, dalam penyusunan juga harus belajar lagi, sebagian besar mahasiswa mengambil resiko besar dalam metode atau model yg di ambil untuk penelitian mengharuskan mahasiswa harus sering bimbingan/berinteraksi terkait Tugas Akhir dengan dosbing, sedangkan ada dosen pembimbing yang jadwal nya tentatif.",negative
51,-,neutral
52,"Menurut saya tidak adil bagi anak semester akhir yang tinggal mengambil tugas akhir karena mereka digadang2kan untuk cepat lulus, jika sems depan belum setidaknya terdapat pemotongan ukt. Ayah saya hanya seorang guru honorer di suatu desa kecil yang gajinya juga tidak seberapa dan abang saya juga kuliah serta ibu saya telah dipanggil tuhan sehingga saat ini kami terkendala ekonomi sekali. Sehingga berat rasanya jika harus melakukan ekuivalensi ini",negative
53,Kebijakan mohon untuk di pertimbangkan lagi untuk mahasiswa akhir,negative
54,"mungkin saya mewakili teman-teman yang ipknya serupa dengan saya, karena ini akan menghambat kami lulus dari prodi karena mata kuliah wajib semester 3 4 dan 5 saja masih ada beberapa yang mengulang, belum juga yang mengambil cuti pasti akan lebih terbebani dengan adanya kebijakan ini baik dalam hal finansial bahkan stress",negative
55,-,neutral
56,"Saya merupakan mahasiswa semester akhir semester 10, dengan keadaan yang sekarang saya dan teman"" lain alami adalah dosen seperti memburu"" kami dan mhs semester 8 untuk segera lulus, tapi kenyataan nya untuk melakukan seminar saja dibatasi hanya UTS dan UAS, hal ini sangat disayangkan ketika kami disuruh cepat"" lulus tapi dosen tidak bersedia untuk melakukan seminar (walaupun saya tahu jadwal dosen sangat padat), beberapa mahasiswa yang saya temui merasa tidak sanggup jika kami terkena kebijakan ini dan harus mengambil mata kuliah lagi hingga semester 12, saya rasa kebijakan ini tidak bisa serta Merta diputuskan begitu saja, karena berdampak ke mahasiswa semester lain juga. don't know what happen if we're stay on campus with those funny policy!",negative
57,"Jika kebijakan diterapkan, maka makin lama mahasiswa untuk wisuda jika terkena ekuvalensi",negative
58,"Tentu saja, andai pemberitahuan di berikan dari tahun lalu mungkin saya masih bisa memaklumi dan berusaha dari semester lalu. Intinya terjadinya ekivalensi di semester ini sangat tidak masuk akal",negative
59,-,neutral
60,"Sangat tidak adil jika dilakukan kebijakan baru ini untuk semua angkatan, mohon dipertimbangkan lagi untuk semua dosen yg menyusun kebijakan ini karena sangat memberatkan semua mahasiswa di prodi sd ini.",negative
61,Mungkin kasihan kepada mahasiswa yang sudah tinggal mengerjakan TA (mahasiswa semester akhir) yang hendak lulus ya dikarenakan bisa jadi mereka menambah satu tahun lagi jika mereka tidak lulus TA,negative
62,-,neutral
63,-,neutral
64,"Untuk mahasiswa semester bawah mungkin tidak terlalu berdampak karena masih ada waktu untuk mengejar mata kuliah tersebut. Namun untuk semester atas mungkin sangat berdampak untuk memotivasi agar dapat menyelesaikan TA segera. Tetapi untuk mahasiswa yang mempunyai rencana lain yang mungkin masih belum terburu buru untuk menyelsaikan TA karena satu hal lain yang penting, mungkin berdampak harus mengambil mata kuliah lagi yang bisa merusak rencana yang sudah disusun oleh mahasiswa tersebut.",negative
65,"Untuk semester 4 mungkin adil adil saja karna baru 3 matkul yang bisa dikatakan sebahai matpil,dan kalau iya pun nanti dari ke3 matkul itu di wajibkan. Saya rasa ktita bisa untuk mengejarnya. Tapi bagi siswa semester akhir sangat tidak adil jika harus menambah semester lagi untuk matkul ini,kalau iyapun bakal ada perubahan apakah tidak bisa angkatan semester akhiri tidak terkena dampaknya?",negative
66,Adilnsevara ovjektif ya,neutral
67,Saya merasa kebijakam ini terlalu mengedepankan ego dari prodi. Tidak ada diskusi terkait kebijakan ini sama mahasiswa yg sangat terdampak apalahi mahasiswa akhir,negative
68,-,neutral
69,"Mungkin untuk mahasiswa yang belum tergolong mahasiswa akhir ini kebijakan yang baik,tapi untuk mahasiswa yang di tahap akhir ini sangat tidak adil , karna tidak hanya berdampak ke pada diri sendiri yang lulus nya makin lama dan tidak semua mahasiswa memiliki ekonomi finansial yang baik ",negative
70,Seharusnya tidak cocok untuk mahasiswa akhir yang notabene tidak lagi cocok untuk perubahan kurikulum,negative
71,"Dari kebijakan yang awalnya pilihan menjadi wajib, dan seharusnya kita juga bisa bervariasi dari segi pemilihan matkut mungkin di prodi lain",neutral
72,"kebijakan ini berpotensi tidak sepenuhnya adil bagi semua mahasiswa, terutama mahasiswa semester akhir yang banyak dirugikan karena harus mengubah rencana akademik mereka, tapi untuk semester awal kebijakan ini berdampak baik jika tujuannya memang ingin meningkatkan kualitas lulusan.",neutral
73,"Tidak adil, terutama untuk mahasiswa semester akhir yang udah tinggal sedikit lagi lulus tiba-tiba harus ngikutin kurikulum baru dan nambah mata kuliah yang tadinya nggak wajib, apalagi kalau sampai harus nambah semester cuma gara-gara perubahan ini",negative
74,-,neutral
75,"menurut saya, kebijakan ini akan memberikan dampak kepada mahasiswa, khususnya angkatan yang sedang menempuh Tugas Akhir",negative
76,Pendapat saya mengenai kebijakan ini adalah bahwa kebijakan ini belum sepenuhnya adil bagi semua mahasiswa dikarenakan dampaknya yang tidak merata yaitu tidak semua mahasiswa mempunyai fleksibilitas akademik serta finansial untuk beradaptasi secara mendadak dengan kebijakan baru. Sebaiknya perubahan kebijakan ini bisa disosialisasikan lebih awal atau diterapkan secara bertahap.,negative
77,mungkin lebih dipertimbangkan,neutral
78,"Baru masuk prodi, jadi nggak terlalu ngaruh. Tapi buat kating-kating yang ditambah matkul wajibnya, bakal ngaruh.",negative
79,nope,neutral
80,-,neutral
81,"Tidak, karena mahasiswa angkatan akhir yang belum menyelesaikan TA bisa diharuskan untuk menambah semester.",negative
82,.,neutral
83,-,neutral
84,"Tidak adil karena menurut saya yang seharusnya 4 tahun sudah selesai, terpaksa untuk menambah semester tentu saja ada kerugian finansial yang bertambah",negative
85,"Menurut saya, kebijakan ini belum sepenuhnya adil bagi semua mahasiswa. Meskipun tujuan perubahan kurikulum adalah untuk meningkatkan kualitas pendidikan, penerapannya terasa memberatkan, terutama bagi mahasiswa angkatan akhir.

Mereka yang sudah hampir menyelesaikan studi harus menyesuaikan diri dengan mata kuliah wajib baru yang sebelumnya bersifat pilihan. Hal ini bisa menyebabkan keterlambatan kelulusan dan beban akademik tambahan, yang seharusnya bisa dihindari dengan kebijakan transisi yang lebih fleksibel.

Sementara itu, mahasiswa semester bawah memang memiliki waktu lebih untuk menyesuaikan diri, namun mereka tetap terdampak karena harus menyusun ulang rencana studi dari awal, yang berpotensi menimbulkan kebingungan dan risiko keterlambatan kelulusan jika tidak dibimbing dengan baik.

Akan lebih adil jika ada masa transisi yang lebih bijaksana, misalnya dengan memberikan dispensasi bagi angkatan akhir atau penyesuaian kurikulum secara bertahap untuk semua angkatan.

",negative
86,Kurang setuju untuk perubahan kurikulum terbaru,negative
87,-,neutral
88,Perubahan ini tidak adil karena mengharuskan saya mengatur ulang rencana studi saya pada semester depan,negative
89,Pastinya ada yang diuntungkan dan dirugikan tentang kebijakan ini,neutral
90,menurut saya tidak terlalu adil buat abang abang saya yang mana mereka sudah merencanakan segala bentuk hal persiapan kelulusan dan ternyata ada hal yang harus ditambahkan seperti matkul yang harus diambil otomatis mereka harus menambah waktu untuk itu,negative
